Temps(s),U(V),Itot(A),IC(A),IRL(A)
-4.704000e-02,-246,-4.4,-4.2,-0.4
-4.703000e-02,-240,-4.4,-4,-0.2
-4.702000e-02,-246,-4.6,-4,-0.4
-4.701000e-02,-240,-4.6,-4.2,-0.4
-4.700000e-02,-258,-4.6,-4.2,-0.2
-4.699000e-02,-252,-4.8,-4.2,-0.4
-4.698000e-02,-258,-4.6,-4.4,-0.4
-4.697000e-02,-246,-4.8,-4.2,-0.4
-4.696000e-02,-252,-5,-4.6,-0.4
-4.695000e-02,-252,-5,-4.4,-0.6
-4.694000e-02,-258,-5,-4.4,-0.4
-4.693000e-02,-246,-5.2,-4.6,-0.4
-4.692000e-02,-252,-5.2,-4.4,-0.8
-4.691000e-02,-252,-5.4,-4.6,-0.6
-4.690000e-02,-258,-5.4,-4.6,-0.8
-4.689000e-02,-258,-5.2,-4.4,-0.6
-4.688000e-02,-264,-5.4,-4.8,-0.8
-4.687000e-02,-258,-5.4,-4.8,-0.6
-4.686000e-02,-258,-5.6,-4.6,-0.8
-4.685000e-02,-258,-5.4,-4.6,-0.8
-4.684000e-02,-264,-5.6,-4.6,-0.8
-4.683000e-02,-258,-5.8,-4.8,-0.6
-4.682000e-02,-264,-5.6,-4.8,-0.8
-4.681000e-02,-258,-5.6,-4.8,-0.8
-4.680000e-02,-264,-5.8,-4.8,-0.6
-4.679000e-02,-264,-5.8,-4.8,-0.8
-4.678000e-02,-258,-5.8,-4.8,-1
-4.677000e-02,-258,-6,-4.8,-1
-4.676000e-02,-270,-5.8,-4.6,-1
-4.675000e-02,-270,-6,-4.8,-1
-4.674000e-02,-276,-5.8,-4.6,-0.8
-4.673000e-02,-270,-5.8,-4.8,-1
-4.672000e-02,-264,-6,-4.6,-1.2
-4.671000e-02,-276,-6,-4.6,-1.2
-4.670000e-02,-270,-5.8,-4.8,-1.4
-4.669000e-02,-264,-6,-4.6,-1.2
-4.668000e-02,-282,-5.8,-4.6,-1.4
-4.667000e-02,-270,-5.8,-4.6,-1.2
-4.666000e-02,-270,-5.6,-4.6,-1.2
-4.665000e-02,-276,-5.8,-4.6,-1.4
-4.664000e-02,-276,-6,-4.6,-1.4
-4.663000e-02,-276,-6,-4.4,-1.4
-4.662000e-02,-282,-5.8,-4.4,-1.4
-4.661000e-02,-276,-6,-4.2,-1.2
-4.660000e-02,-276,-5.8,-4.2,-1.2
-4.659000e-02,-282,-5.8,-4.2,-1.4
-4.658000e-02,-282,-6,-4.4,-1.4
-4.657000e-02,-276,-6,-4.4,-1.4
-4.656000e-02,-276,-6,-4.2,-1.6
-4.655000e-02,-282,-6,-4.2,-1.6
-4.654000e-02,-276,-6.2,-4.2,-1.8
-4.653000e-02,-288,-5.8,-4.2,-1.6
-4.652000e-02,-276,-5.6,-4.2,-1.4
-4.651000e-02,-282,-6,-4.2,-1.8
-4.650000e-02,-276,-5.8,-4,-1.8
-4.649000e-02,-288,-5.8,-4,-1.6
-4.648000e-02,-282,-5.8,-4,-1.8
-4.647000e-02,-288,-5.8,-4,-2
-4.646000e-02,-282,-5.8,-3.8,-1.8
-4.645000e-02,-282,-5.8,-3.8,-1.8
-4.644000e-02,-288,-5.8,-3.8,-1.8
-4.643000e-02,-276,-5.8,-3.6,-1.8
-4.642000e-02,-288,-5.8,-3.8,-2
-4.641000e-02,-288,-5.8,-3.6,-2.2
-4.640000e-02,-288,-5.6,-3.4,-2.2
-4.639000e-02,-294,-5.6,-3.8,-1.8
-4.638000e-02,-294,-5.8,-3.6,-2
-4.637000e-02,-288,-6,-3.6,-1.8
-4.636000e-02,-294,-5.6,-3.6,-2
-4.635000e-02,-288,-5.8,-3.4,-2.2
-4.634000e-02,-294,-5.6,-3.6,-2
-4.633000e-02,-294,-5.8,-3.4,-2
-4.632000e-02,-288,-5.8,-3.4,-2.4
-4.631000e-02,-288,-5.6,-3.4,-2.2
-4.630000e-02,-294,-5.8,-3.4,-2
-4.629000e-02,-288,-5.6,-3.2,-2.2
-4.628000e-02,-294,-5.4,-3.4,-2.4
-4.627000e-02,-288,-5.8,-3.2,-2.4
-4.626000e-02,-294,-5.6,-3,-2.4
-4.625000e-02,-294,-5.6,-3,-2.4
-4.624000e-02,-294,-5.8,-3,-2.4
-4.623000e-02,-300,-5.6,-3.2,-2.4
-4.622000e-02,-306,-5.4,-3,-2.4
-4.621000e-02,-294,-5.6,-3,-2.6
-4.620000e-02,-294,-5.4,-3.2,-2.6
-4.619000e-02,-300,-5.6,-3,-2.8
-4.618000e-02,-300,-5.6,-2.8,-2.4
-4.617000e-02,-294,-5.6,-3,-2.6
-4.616000e-02,-294,-5.6,-3,-2.6
-4.615000e-02,-300,-5.6,-2.8,-2.6
-4.614000e-02,-294,-5.6,-3.2,-2.8
-4.613000e-02,-306,-5.6,-3,-2.6
-4.612000e-02,-294,-5.6,-2.6,-2.6
-4.611000e-02,-300,-5.8,-3,-2.8
-4.610000e-02,-294,-5.4,-2.8,-2.8
-4.609000e-02,-306,-5.6,-2.6,-2.8
-4.608000e-02,-300,-5.4,-2.6,-2.8
-4.607000e-02,-300,-5.6,-2.6,-2.8
-4.606000e-02,-306,-5.4,-2.4,-3
-4.605000e-02,-306,-5.4,-2.4,-3
-4.604000e-02,-306,-5.4,-2.2,-3
-4.603000e-02,-312,-5.2,-2.2,-2.8
-4.602000e-02,-300,-5.2,-2.2,-3
-4.601000e-02,-306,-5.4,-2.2,-3
-4.600000e-02,-306,-5.2,-2.2,-3
-4.599000e-02,-306,-5.2,-2.4,-3.2
-4.598000e-02,-306,-5.2,-2,-3.2
-4.597000e-02,-300,-5.2,-2,-3
-4.596000e-02,-306,-5,-1.8,-3
-4.595000e-02,-300,-5,-1.8,-3
-4.594000e-02,-306,-5,-1.6,-3.4
-4.593000e-02,-306,-4.8,-1.8,-3.2
-4.592000e-02,-306,-5,-1.6,-3
-4.591000e-02,-312,-4.8,-1.6,-3.2
-4.590000e-02,-312,-4.8,-1.6,-3.2
-4.589000e-02,-306,-5,-1.6,-3.4
-4.588000e-02,-312,-4.6,-1.4,-3.4
-4.587000e-02,-306,-4.6,-1.4,-3.4
-4.586000e-02,-312,-4.8,-1.4,-3.2
-4.585000e-02,-306,-4.8,-1.2,-3.4
-4.584000e-02,-312,-4.8,-1.2,-3.2
-4.583000e-02,-312,-4.4,-1.2,-3.4
-4.582000e-02,-306,-4.6,-1,-3.4
-4.581000e-02,-318,-4.6,-1,-3.4
-4.580000e-02,-312,-4.6,-1,-3.4
-4.579000e-02,-306,-4.6,-1.2,-3.6
-4.578000e-02,-306,-4.6,-1,-3.4
-4.577000e-02,-306,-4.6,-0.8,-3.6
-4.576000e-02,-312,-4.4,-1,-3.4
-4.575000e-02,-306,-4.6,-0.8,-3.8
-4.574000e-02,-312,-4.4,-0.8,-3.6
-4.573000e-02,-306,-4.6,-0.8,-3.6
-4.572000e-02,-318,-4.6,-1,-3.6
-4.571000e-02,-306,-4.4,-0.8,-3.8
-4.570000e-02,-312,-4.6,-0.8,-4
-4.569000e-02,-306,-4.6,-0.8,-3.6
-4.568000e-02,-312,-4.6,-0.8,-3.8
-4.567000e-02,-312,-4.8,-1,-3.8
-4.566000e-02,-312,-4.8,-0.8,-3.6
-4.565000e-02,-312,-4.6,-0.8,-3.8
-4.564000e-02,-312,-4.8,-0.8,-3.8
-4.563000e-02,-312,-4.8,-1,-3.8
-4.562000e-02,-312,-4.8,-1,-3.8
-4.561000e-02,-312,-5,-1,-4
-4.560000e-02,-306,-4.8,-1,-3.8
-4.559000e-02,-306,-4.8,-0.8,-3.8
-4.558000e-02,-312,-5.2,-1.2,-4
-4.557000e-02,-312,-4.8,-1,-4
-4.556000e-02,-312,-5.2,-0.8,-4
-4.555000e-02,-312,-5,-1,-4
-4.554000e-02,-318,-5.2,-1,-4
-4.553000e-02,-312,-5.2,-1,-4
-4.552000e-02,-312,-5.2,-1,-4.4
-4.551000e-02,-312,-5.2,-1,-4
-4.550000e-02,-318,-5.2,-1,-4.4
-4.549000e-02,-306,-5.2,-1,-4.2
-4.548000e-02,-312,-5.2,-1.2,-4.4
-4.547000e-02,-306,-5.2,-1,-4.4
-4.546000e-02,-312,-5.2,-1.2,-4.2
-4.545000e-02,-312,-5.4,-1,-4.2
-4.544000e-02,-306,-5.4,-1,-4.4
-4.543000e-02,-312,-5.4,-1,-4.4
-4.542000e-02,-312,-5.2,-1,-4.4
-4.541000e-02,-306,-5.4,-1,-4.4
-4.540000e-02,-312,-5.4,-0.8,-4.4
-4.539000e-02,-306,-5.2,-0.8,-4.4
-4.538000e-02,-312,-5.2,-0.8,-4.2
-4.537000e-02,-312,-5.4,-0.8,-4.4
-4.536000e-02,-318,-5.4,-1,-4.4
-4.535000e-02,-312,-5.4,-1,-4.4
-4.534000e-02,-306,-5.2,-0.8,-4.4
-4.533000e-02,-312,-5.4,-1,-4.4
-4.532000e-02,-318,-5.2,-0.8,-4.4
-4.531000e-02,-318,-5.4,-1,-4.6
-4.530000e-02,-318,-5.4,-0.8,-4.8
-4.529000e-02,-312,-5.4,-1,-4.6
-4.528000e-02,-312,-5.4,-0.8,-4.6
-4.527000e-02,-312,-5.4,-0.6,-4.6
-4.526000e-02,-306,-5.4,-0.8,-4.6
-4.525000e-02,-312,-5.4,-0.8,-4.8
-4.524000e-02,-300,-5.4,-0.8,-4.6
-4.523000e-02,-318,-5.4,-0.8,-4.8
-4.522000e-02,-312,-5.4,-0.6,-4.8
-4.521000e-02,-318,-5.6,-0.8,-4.6
-4.520000e-02,-318,-5.4,-0.8,-4.8
-4.519000e-02,-318,-5.6,-0.6,-4.8
-4.518000e-02,-312,-5.6,-0.8,-4.8
-4.517000e-02,-312,-5.4,-0.6,-4.8
-4.516000e-02,-312,-5.6,-0.6,-4.8
-4.515000e-02,-318,-5.6,-0.8,-4.8
-4.514000e-02,-318,-5.6,-0.6,-4.8
-4.513000e-02,-312,-5.6,-0.4,-4.8
-4.512000e-02,-312,-5.4,-0.6,-5
-4.511000e-02,-318,-6,-0.6,-5
-4.510000e-02,-312,-5.4,-0.6,-5
-4.509000e-02,-312,-5.6,-0.2,-4.8
-4.508000e-02,-318,-5.6,-0.6,-5.2
-4.507000e-02,-312,-5.6,-0.4,-5.2
-4.506000e-02,-312,-5.4,-0.4,-5
-4.505000e-02,-318,-5.8,-0.6,-5.2
-4.504000e-02,-312,-5.8,-0.4,-5.2
-4.503000e-02,-312,-5.8,-0.6,-5.2
-4.502000e-02,-318,-5.6,-0.4,-5.2
-4.501000e-02,-318,-5.8,-0.2,-5.4
-4.500000e-02,-318,-5.6,-0.4,-5.2
-4.499000e-02,-312,-5.6,-0.4,-5.4
-4.498000e-02,-312,-5.6,-0.2,-5.4
-4.497000e-02,-324,-5.6,-0.6,-5.4
-4.496000e-02,-318,-5.8,-0.4,-5.4
-4.495000e-02,-318,-5.6,-0.6,-5.4
-4.494000e-02,-318,-5.8,-0.4,-5.4
-4.493000e-02,-312,-5.8,-0.6,-5.4
-4.492000e-02,-318,-5.6,-0.4,-5.4
-4.491000e-02,-312,-5.8,-0.2,-5.4
-4.490000e-02,-312,-5.8,-0.2,-5.6
-4.489000e-02,-318,-5.8,-0.4,-5.4
-4.488000e-02,-312,-5.8,-0.4,-5.6
-4.487000e-02,-312,-5.8,-0.4,-5.8
-4.486000e-02,-318,-5.8,-0.2,-5.4
-4.485000e-02,-324,-6,-0.2,-5.6
-4.484000e-02,-312,-5.6,-0.2,-5.6
-4.483000e-02,-324,-5.8,-0.2,-5.6
-4.482000e-02,-318,-5.8,-0.2,-5.6
-4.481000e-02,-312,-5.8,-0.4,-5.6
-4.480000e-02,-306,-5.6,-0.2,-5.8
-4.479000e-02,-312,-5.8,-0.2,-5.6
-4.478000e-02,-312,-5.6,-0.2,-5.6
-4.477000e-02,-318,-6,-0.2,-5.6
-4.476000e-02,-318,-5.8,-0.2,-5.6
-4.475000e-02,-318,-6,-0.2,-5.8
-4.474000e-02,-318,-6,-0.2,-5.8
-4.473000e-02,-318,-5.8,-0.2,-6
-4.472000e-02,-312,-6,-0.2,-5.8
-4.471000e-02,-312,-5.6,-0.2,-6
-4.470000e-02,-318,-5.8,0,-6
-4.469000e-02,-318,-5.8,-0.2,-5.8
-4.468000e-02,-306,-6,0,-6
-4.467000e-02,-312,-6,0,-6
-4.466000e-02,-312,-6,0,-6
-4.465000e-02,-318,-5.6,0,-5.8
-4.464000e-02,-324,-5.8,-0.2,-6
-4.463000e-02,-312,-5.8,0,-6
-4.462000e-02,-318,-5.8,0,-6
-4.461000e-02,-318,-6,0,-6
-4.460000e-02,-306,-6,0,-6
-4.459000e-02,-312,-6,0,-6.2
-4.458000e-02,-318,-6,0,-6
-4.457000e-02,-312,-6,-0.2,-6
-4.456000e-02,-318,-6,0,-6
-4.455000e-02,-312,-6,0,-6
-4.454000e-02,-306,-6,0.2,-6
-4.453000e-02,-318,-6,0.2,-6.2
-4.452000e-02,-318,-6.2,0.2,-6.4
-4.451000e-02,-318,-6,0,-6.2
-4.450000e-02,-312,-6,0.2,-6.4
