Temps(s),U(V),Itot(A),IL(A),IR(A)
-4.697000e-02,-258,-1.4,1.4,-3.4
-4.696000e-02,-258,-1.6,1.4,-3.4
-4.695000e-02,-258,-1.4,1.4,-3.2
-4.694000e-02,-258,-1.4,1.4,-3.4
-4.693000e-02,-252,-1.6,1.4,-3.2
-4.692000e-02,-264,-1.6,1.4,-3.2
-4.691000e-02,-258,-1.6,1.4,-3
-4.690000e-02,-258,-1.6,1.6,-3.2
-4.689000e-02,-264,-1.4,1.4,-3.4
-4.688000e-02,-264,-1.4,1.4,-3.4
-4.687000e-02,-258,-1.4,1.4,-3.4
-4.686000e-02,-264,-1.6,1.4,-3.2
-4.685000e-02,-264,-1.6,1.4,-3.4
-4.684000e-02,-264,-1.6,1.4,-3.4
-4.683000e-02,-264,-1.6,1.6,-3.4
-4.682000e-02,-264,-1.8,1.4,-3.4
-4.681000e-02,-270,-1.8,1.4,-3.4
-4.680000e-02,-264,-1.8,1.6,-3.2
-4.679000e-02,-264,-1.8,1.4,-3.2
-4.678000e-02,-270,-1.8,1.4,-3.4
-4.677000e-02,-258,-1.8,1.4,-3.2
-4.676000e-02,-264,-2,1.2,-3.4
-4.675000e-02,-264,-1.8,1.2,-3.4
-4.674000e-02,-270,-1.8,1.4,-3.4
-4.673000e-02,-276,-2,1.4,-3.4
-4.672000e-02,-270,-2,1.4,-3.4
-4.671000e-02,-276,-2,1.2,-3.4
-4.670000e-02,-276,-2,1.2,-3.4
-4.669000e-02,-276,-1.8,1,-3.4
-4.668000e-02,-276,-2,1.4,-3.4
-4.667000e-02,-276,-2,1.4,-3.2
-4.666000e-02,-276,-2,1.2,-3.6
-4.665000e-02,-276,-2,1,-3.2
-4.664000e-02,-270,-2,0.8,-3.2
-4.663000e-02,-276,-2.2,1,-3.4
-4.662000e-02,-276,-2,0.8,-3.4
-4.661000e-02,-282,-2.2,1,-3.4
-4.660000e-02,-276,-2.4,1,-3.4
-4.659000e-02,-282,-2.4,1,-3.6
